Unnamed:0,DESA_1,year,population
818,SINDANGPANON,2015,6021
819,CIPEUNDEUY,2015,4685
820,CILEUNCA,2015,3663
821,KERTASARI,2015,4152
822,SINDANGKASIH,2015,18071
823,NAGERI KIDUL,2015,14351
824,NAGERI TENGAH,2015,10549
825,CIPAISAN,2015,8857
826,NAGERI KALER,2015,21876
827,TEGALMUNJUL,2015,12175
828,CITALANG,2015,6798
829,MUNJULJAYA,2015,17286
830,CISEUREUH,2015,26849
831,PURWAMEKAR,2015,7063
832,MARACANG,2015,5326
833,CIWARENG,2015,7991
834,MULYAMEKAR,2015,7564
835,CIGELAM,2015,6077
836,BABAKANCIKAO,2015,3765
